id;skosPrefLabel;skosNotation
http://data.openbudgets.eu/resource/codelist/eu-budget-nomenclature/XX-01-01-01-02;Expenses and allowances related to recruitment, transfers and termination of service;XX 01 01 01 02
;;
;;
